epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
103,1.68278,0.7774,1.70147,0.7588,0.000064
104,1.68316,0.7772,1.69675,0.7631,0.000064
105,1.67826,0.7817,1.70730,0.7516,0.000064
106,1.67718,0.7834,1.70104,0.7588,0.000064
107,1.67756,0.7828,1.69845,0.7618,0.000064
108,1.67901,0.7812,1.70033,0.7600,0.000064
109,1.67702,0.7832,1.70279,0.7572,0.000064
110,1.67687,0.7837,1.70180,0.7585,0.000064
111,1.67803,0.7827,1.69246,0.7677,0.000064
112,1.67908,0.7813,1.70804,0.7520,0.000064
113,1.67678,0.7834,1.68976,0.7705,0.000064
114,1.67521,0.7854,1.70643,0.7531,0.000064
115,1.67634,0.7840,1.70090,0.7598,0.000064
116,1.67350,0.7868,1.69223,0.7684,0.000064
117,1.67432,0.7863,1.68817,0.7724,0.000064
118,1.67331,0.7869,1.69730,0.7621,0.000064
119,1.67640,0.7841,1.70910,0.7508,0.000064
120,1.67318,0.7870,1.69897,0.7614,0.000064
121,1.67117,0.7890,1.69048,0.7708,0.000064
122,1.67338,0.7868,1.69868,0.7618,0.000064
123,1.67338,0.7869,1.68459,0.7763,0.000064
124,1.66883,0.7915,1.71809,0.7429,0.000064
125,1.67560,0.7846,1.69131,0.7695,0.000064
126,1.66910,0.7911,1.69699,0.7631,0.000064
127,1.66756,0.7930,1.68828,0.7714,0.000064
128,1.66716,0.7929,1.69468,0.7653,0.000064
