epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,2.25077,0.1948,2.25156,0.1941,0.001000
2,2.22345,0.2261,2.19377,0.2564,0.001000
3,2.22060,0.2303,2.19189,0.2554,0.001000
4,2.18409,0.2647,2.23277,0.2164,0.001000
5,2.16226,0.2898,2.13304,0.3191,0.001000
6,2.13767,0.3144,2.14020,0.3116,0.001000
7,2.12648,0.3268,2.12999,0.3251,0.001000
8,2.10002,0.3536,2.05472,0.3992,0.001000
9,2.07829,0.3758,2.03943,0.4156,0.001000
10,2.06277,0.3914,2.03465,0.4216,0.001000
11,2.04541,0.4093,2.00043,0.4563,0.001000
12,2.02468,0.4315,1.98725,0.4696,0.001000
13,2.00750,0.4491,1.96445,0.4922,0.001000
14,1.99190,0.4648,1.99026,0.4665,0.001000
15,1.98195,0.4749,1.96601,0.4918,0.001000
16,1.98560,0.4700,1.93925,0.5174,0.001000
17,1.96043,0.4968,1.91981,0.5366,0.001000
18,1.96134,0.4959,1.91082,0.5489,0.001000
19,1.95167,0.5061,1.90825,0.5495,0.001000
20,1.92568,0.5309,1.88311,0.5747,0.001000
21,1.90457,0.5530,1.85473,0.6060,0.001000
22,1.89066,0.5665,1.93291,0.5249,0.001000
23,1.89698,0.5611,1.85434,0.6042,0.001000
24,1.87053,0.5880,1.84087,0.6173,0.001000
25,1.87108,0.5871,1.84842,0.6109,0.001000
26,1.85648,0.6021,1.82467,0.6337,0.001000
27,1.85556,0.6029,1.82188,0.6378,0.001000
28,1.85083,0.6075,1.81236,0.6457,0.001000
29,1.84383,0.6157,1.81826,0.6413,0.001000
30,1.83904,0.6197,1.81427,0.6448,0.001000
31,1.83179,0.6268,1.81344,0.6459,0.001000
32,1.82406,0.6345,1.78647,0.6724,0.001000
33,1.82018,0.6383,1.78694,0.6715,0.001000
34,1.81531,0.6430,1.79095,0.6703,0.001000
35,1.80812,0.6510,1.76230,0.6974,0.001000
36,1.80827,0.6497,1.77158,0.6882,0.001000
37,1.79673,0.6626,1.76061,0.6990,0.001000
38,1.79652,0.6623,1.76765,0.6919,0.001000
39,1.79335,0.6659,1.76686,0.6918,0.001000
40,1.78369,0.6758,1.76455,0.6953,0.001000
41,1.77948,0.6793,1.75367,0.7072,0.001000
42,1.77579,0.6829,1.74566,0.7138,0.001000
43,1.77117,0.6885,1.73594,0.7239,0.001000
44,1.77038,0.6888,1.74319,0.7166,0.001000
45,1.76688,0.6933,1.74245,0.7176,0.001000
46,1.76238,0.6971,1.73713,0.7215,0.001000
47,1.75920,0.7000,1.72504,0.7343,0.001000
48,1.75655,0.7031,1.71593,0.7436,0.001000
49,1.75537,0.7037,1.73565,0.7244,0.001000
50,1.74748,0.7121,1.72473,0.7354,0.001000
51,1.73775,0.7219,1.70985,0.7513,0.000800
52,1.73306,0.7268,1.70588,0.7543,0.000800
53,1.72412,0.7354,1.70653,0.7522,0.000800
54,1.72539,0.7343,1.69783,0.7615,0.000800
55,1.71786,0.7415,1.69836,0.7618,0.000800
56,1.71887,0.7409,1.70714,0.7521,0.000800
57,1.71524,0.7449,1.68876,0.7707,0.000800
58,1.71357,0.7462,1.69076,0.7695,0.000800
59,1.70846,0.7514,1.68737,0.7724,0.000800
60,1.70900,0.7508,1.69242,0.7667,0.000800
61,1.70647,0.7534,1.69147,0.7685,0.000800
62,1.70379,0.7563,1.69526,0.7651,0.000800
63,1.70090,0.7584,1.68166,0.7794,0.000800
64,1.69973,0.7599,1.68954,0.7706,0.000800
65,1.70146,0.7582,1.69570,0.7643,0.000800
66,1.69583,0.7637,1.68203,0.7782,0.000800
67,1.69056,0.7694,1.68093,0.7785,0.000800
68,1.69335,0.7668,1.67018,0.7905,0.000800
69,1.69080,0.7689,1.67773,0.7821,0.000800
70,1.68717,0.7729,1.67377,0.7860,0.000800
71,1.68566,0.7745,1.67762,0.7832,0.000800
72,1.68287,0.7770,1.68028,0.7808,0.000800
73,1.68292,0.7774,1.66565,0.7951,0.000800
74,1.67976,0.7804,1.67659,0.7835,0.000800
75,1.67739,0.7823,1.66591,0.7941,0.000800
76,1.67668,0.7830,1.67007,0.7895,0.000800
77,1.67181,0.7883,1.66329,0.7977,0.000800
78,1.66934,0.7908,1.65631,0.8043,0.000800
79,1.67204,0.7881,1.66149,0.7986,0.000800
80,1.67083,0.7890,1.66159,0.7976,0.000800
81,1.66917,0.7906,1.67286,0.7874,0.000800
82,1.66589,0.7939,1.66839,0.7910,0.000800
83,1.66466,0.7954,1.65437,0.8068,0.000800
84,1.66759,0.7926,1.65369,0.8074,0.000800
85,1.66062,0.7993,1.65986,0.7990,0.000800
86,1.65927,0.8012,1.65195,0.8084,0.000800
87,1.65895,0.8012,1.64856,0.8105,0.000800
88,1.65711,0.8029,1.64881,0.8121,0.000800
89,1.65636,0.8039,1.64666,0.8133,0.000800
90,1.65220,0.8083,1.64291,0.8163,0.000800
91,1.65094,0.8092,1.66011,0.7997,0.000800
92,1.65482,0.8047,1.65013,0.8103,0.000800
93,1.65170,0.8084,1.64861,0.8110,0.000800
94,1.64931,0.8104,1.65242,0.8077,0.000800
95,1.64970,0.8104,1.64178,0.8195,0.000800
96,1.64755,0.8125,1.63883,0.8207,0.000800
97,1.64397,0.8165,1.64317,0.8169,0.000800
98,1.64132,0.8186,1.64315,0.8172,0.000800
99,1.64435,0.8153,1.64011,0.8210,0.000800
100,1.64007,0.8201,1.63770,0.8230,0.000800
101,1.63509,0.8254,1.64864,0.8113,0.000640
102,1.62975,0.8307,1.62838,0.8310,0.000640
103,1.62835,0.8318,1.63216,0.8279,0.000640
104,1.62946,0.8315,1.63603,0.8248,0.000640
105,1.62583,0.8352,1.62749,0.8328,0.000640
106,1.62497,0.8352,1.62700,0.8337,0.000640
107,1.62418,0.8362,1.63046,0.8303,0.000640
108,1.62315,0.8373,1.62324,0.8365,0.000640
109,1.62085,0.8397,1.63133,0.8282,0.000640
110,1.62135,0.8390,1.62643,0.8336,0.000640
111,1.61965,0.8414,1.62761,0.8324,0.000640
112,1.61723,0.8437,1.62728,0.8338,0.000640
113,1.61947,0.8410,1.63030,0.8292,0.000640
114,1.61446,0.8460,1.62515,0.8343,0.000640
115,1.61618,0.8442,1.62597,0.8351,0.000640
116,1.61599,0.8444,1.62303,0.8375,0.000640
117,1.61285,0.8475,1.62478,0.8358,0.000640
118,1.61481,0.8455,1.62281,0.8376,0.000640
119,1.61412,0.8464,1.62764,0.8326,0.000640
120,1.61315,0.8473,1.62198,0.8387,0.000640
121,1.61069,0.8504,1.62274,0.8380,0.000640
122,1.60968,0.8505,1.62141,0.8388,0.000640
123,1.60871,0.8518,1.62070,0.8391,0.000640
124,1.60756,0.8530,1.62220,0.8386,0.000640
125,1.60809,0.8522,1.61321,0.8460,0.000640
126,1.60540,0.8555,1.61290,0.8467,0.000640
127,1.60718,0.8534,1.61891,0.8413,0.000640
128,1.60310,0.8575,1.61405,0.8457,0.000640
129,1.60241,0.8576,1.61756,0.8444,0.000640
130,1.60275,0.8577,1.62139,0.8394,0.000640
131,1.60240,0.8580,1.61449,0.8472,0.000640
132,1.59988,0.8607,1.61205,0.8481,0.000640
133,1.60003,0.8603,1.61886,0.8419,0.000640
134,1.60047,0.8599,1.61401,0.8461,0.000640
135,1.59652,0.8641,1.61912,0.8416,0.000640
136,1.59610,0.8649,1.61518,0.8456,0.000640
137,1.59771,0.8625,1.60844,0.8520,0.000640
138,1.59534,0.8651,1.61076,0.8512,0.000640
139,1.59545,0.8652,1.60968,0.8509,0.000640
140,1.59478,0.8661,1.61868,0.8417,0.000640
141,1.59268,0.8680,1.61317,0.8479,0.000640
142,1.59314,0.8676,1.60808,0.8532,0.000640
143,1.59152,0.8694,1.60981,0.8501,0.000640
144,1.59307,0.8677,1.61123,0.8486,0.000640
145,1.59127,0.8691,1.61270,0.8479,0.000640
146,1.58902,0.8719,1.61197,0.8489,0.000640
147,1.58960,0.8709,1.60495,0.8558,0.000640
148,1.58849,0.8726,1.60454,0.8559,0.000640
149,1.58672,0.8736,1.60598,0.8553,0.000640
150,1.58628,0.8747,1.60434,0.8562,0.000640
151,1.58020,0.8808,1.59924,0.8610,0.000512
152,1.57997,0.8809,1.59863,0.8620,0.000512
153,1.57930,0.8812,1.60101,0.8603,0.000512
154,1.57739,0.8832,1.59682,0.8638,0.000512
155,1.57703,0.8837,1.59937,0.8608,0.000512
156,1.57473,0.8866,1.59546,0.8648,0.000512
157,1.57643,0.8844,1.59810,0.8633,0.000512
158,1.57481,0.8861,1.60709,0.8526,0.000512
159,1.57414,0.8867,1.59704,0.8639,0.000512
160,1.57173,0.8887,1.60118,0.8593,0.000512
161,1.57520,0.8853,1.59552,0.8646,0.000512
162,1.56953,0.8913,1.59092,0.8700,0.000512
163,1.57068,0.8901,1.59405,0.8669,0.000512
164,1.56966,0.8910,1.59335,0.8678,0.000512
165,1.56825,0.8926,1.59446,0.8667,0.000512
166,1.57020,0.8908,1.59512,0.8658,0.000512
167,1.56642,0.8948,1.59223,0.8685,0.000512
168,1.56661,0.8945,1.59293,0.8675,0.000512
169,1.56511,0.8957,1.59853,0.8615,0.000512
170,1.56546,0.8952,1.59597,0.8639,0.000512
171,1.56646,0.8946,1.59066,0.8701,0.000512
172,1.56505,0.8955,1.59442,0.8653,0.000512
173,1.56359,0.8974,1.59026,0.8701,0.000512
174,1.56454,0.8962,1.59243,0.8676,0.000512
175,1.56409,0.8970,1.58932,0.8717,0.000512
176,1.56015,0.9010,1.58453,0.8763,0.000512
177,1.56118,0.8997,1.58351,0.8774,0.000512
178,1.56018,0.9005,1.58785,0.8735,0.000512
179,1.56034,0.9008,1.58688,0.8738,0.000512
180,1.55920,0.9017,1.58799,0.8729,0.000512
181,1.55926,0.9017,1.58827,0.8725,0.000512
182,1.55679,0.9042,1.58838,0.8715,0.000512
183,1.55824,0.9027,1.58183,0.8795,0.000512
184,1.55627,0.9046,1.58988,0.8707,0.000512
185,1.55625,0.9047,1.58788,0.8729,0.000512
186,1.55481,0.9060,1.58737,0.8733,0.000512
187,1.55602,0.9047,1.58411,0.8765,0.000512
188,1.55428,0.9068,1.58724,0.8735,0.000512
189,1.55392,0.9071,1.59132,0.8698,0.000512
190,1.55294,0.9079,1.58760,0.8729,0.000512
191,1.55134,0.9096,1.58781,0.8724,0.000512
192,1.55041,0.9107,1.58578,0.8747,0.000512
193,1.55354,0.9071,1.58609,0.8742,0.000512
194,1.55125,0.9095,1.58473,0.8749,0.000512
195,1.55073,0.9100,1.59181,0.8688,0.000512
196,1.55104,0.9097,1.58404,0.8764,0.000512
197,1.55010,0.9112,1.58453,0.8767,0.000512
198,1.54871,0.9121,1.58297,0.8776,0.000512
199,1.54826,0.9129,1.58160,0.8789,0.000512
200,1.54782,0.9134,1.58029,0.8804,0.000512
201,1.54395,0.9174,1.58676,0.8741,0.000410
202,1.54246,0.9187,1.58204,0.8782,0.000410
203,1.54222,0.9191,1.57731,0.8840,0.000410
204,1.54087,0.9204,1.57946,0.8809,0.000410
205,1.53958,0.9217,1.58155,0.8790,0.000410
206,1.53837,0.9232,1.57730,0.8830,0.000410
207,1.53906,0.9224,1.57945,0.8808,0.000410
208,1.54022,0.9209,1.57633,0.8836,0.000410
209,1.53965,0.9212,1.57580,0.8851,0.000410
210,1.53897,0.9221,1.57644,0.8843,0.000410
211,1.53865,0.9224,1.57681,0.8840,0.000410
212,1.53877,0.9223,1.57457,0.8856,0.000410
213,1.53708,0.9239,1.57656,0.8849,0.000410
214,1.53462,0.9267,1.57466,0.8867,0.000410
215,1.53544,0.9258,1.57915,0.8829,0.000410
216,1.53452,0.9263,1.57807,0.8837,0.000410
217,1.53567,0.9256,1.57591,0.8843,0.000410
218,1.53412,0.9271,1.58125,0.8791,0.000410
219,1.53449,0.9267,1.57772,0.8825,0.000410
220,1.53623,0.9247,1.57667,0.8834,0.000410
221,1.53192,0.9296,1.57637,0.8839,0.000410
222,1.53380,0.9275,1.57752,0.8828,0.000410
223,1.53257,0.9284,1.57884,0.8808,0.000410
224,1.53308,0.9280,1.57880,0.8822,0.000410
225,1.53187,0.9291,1.57321,0.8881,0.000410
