epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.67284,0.5874,0.66625,0.5952,0.000100
2,0.65958,0.6098,0.65012,0.6138,0.000100
3,0.64118,0.6358,0.63488,0.6426,0.000100
4,0.61750,0.6650,0.57669,0.7150,0.000100
5,0.59823,0.6927,0.56563,0.7304,0.000100
6,0.58606,0.7054,0.55154,0.7428,0.000100
7,0.57272,0.7198,0.58012,0.7128,0.000100
8,0.55916,0.7368,0.52713,0.7736,0.000100
9,0.54352,0.7548,0.52540,0.7772,0.000100
10,0.53137,0.7674,0.51268,0.7898,0.000100
11,0.51283,0.7882,0.52189,0.7784,0.000080
12,0.50507,0.7965,0.47601,0.8262,0.000080
13,0.49338,0.8103,0.48064,0.8230,0.000080
14,0.48807,0.8137,0.50911,0.7916,0.000080
15,0.47919,0.8246,0.48464,0.8182,0.000080
16,0.47301,0.8313,0.44822,0.8596,0.000080
17,0.45741,0.8489,0.44458,0.8608,0.000080
18,0.45688,0.8488,0.42952,0.8760,0.000080
19,0.44578,0.8607,0.44621,0.8602,0.000080
20,0.44060,0.8651,0.43103,0.8754,0.000080
21,0.43234,0.8742,0.41654,0.8924,0.000064
22,0.42596,0.8810,0.43459,0.8710,0.000064
23,0.42139,0.8866,0.41336,0.8932,0.000064
24,0.41849,0.8897,0.40984,0.8988,0.000064
25,0.41475,0.8940,0.40683,0.9020,0.000064
26,0.41197,0.8963,0.42572,0.8824,0.000064
27,0.41028,0.8995,0.40260,0.9070,0.000064
28,0.40574,0.9026,0.39653,0.9110,0.000064
29,0.40651,0.9025,0.39166,0.9174,0.000064
30,0.40092,0.9078,0.40348,0.9062,0.000064
31,0.39825,0.9112,0.38865,0.9218,0.000051
32,0.39613,0.9132,0.39899,0.9108,0.000051
33,0.39366,0.9160,0.38000,0.9312,0.000051
34,0.39194,0.9166,0.39053,0.9208,0.000051
35,0.39117,0.9180,0.38922,0.9186,0.000051
36,0.38737,0.9233,0.38706,0.9228,0.000051
37,0.38936,0.9193,0.37706,0.9346,0.000051
38,0.38278,0.9276,0.39459,0.9150,0.000051
39,0.38410,0.9265,0.37967,0.9304,0.000051
40,0.38352,0.9253,0.37522,0.9330,0.000051
41,0.37705,0.9343,0.37958,0.9310,0.000041
42,0.37984,0.9312,0.38072,0.9296,0.000041
43,0.37686,0.9326,0.36746,0.9426,0.000041
44,0.37704,0.9328,0.36771,0.9448,0.000041
45,0.37157,0.9391,0.37205,0.9394,0.000041
46,0.37359,0.9372,0.37171,0.9396,0.000041
47,0.37210,0.9387,0.37672,0.9340,0.000041
48,0.37331,0.9380,0.36517,0.9458,0.000041
49,0.36897,0.9416,0.36457,0.9470,0.000041
50,0.36957,0.9415,0.36758,0.9430,0.000041
51,0.36379,0.9477,0.36744,0.9448,0.000033
52,0.36579,0.9449,0.36368,0.9476,0.000033
53,0.36553,0.9452,0.36294,0.9484,0.000033
54,0.36428,0.9462,0.36452,0.9468,0.000033
55,0.36386,0.9475,0.36595,0.9448,0.000033
56,0.36135,0.9503,0.36361,0.9478,0.000033
57,0.36085,0.9499,0.36222,0.9490,0.000033
58,0.36041,0.9514,0.36481,0.9470,0.000033
59,0.35896,0.9521,0.35981,0.9512,0.000033
60,0.36054,0.9509,0.36926,0.9422,0.000033
