epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
103,1.67013,0.7898,1.65311,0.8078,0.000640
104,1.67188,0.7880,1.65849,0.8013,0.000640
105,1.66706,0.7927,1.65434,0.8056,0.000640
106,1.66558,0.7946,1.65534,0.8037,0.000640
107,1.66571,0.7939,1.65222,0.8085,0.000640
108,1.66521,0.7953,1.65801,0.8017,0.000640
109,1.66458,0.7950,1.64936,0.8115,0.000640
110,1.66170,0.7981,1.64889,0.8105,0.000640
111,1.66027,0.7995,1.64239,0.8172,0.000640
112,1.65913,0.8013,1.65676,0.8025,0.000640
113,1.66062,0.7989,1.64977,0.8102,0.000640
114,1.65597,0.8045,1.63871,0.8221,0.000640
115,1.65466,0.8053,1.64504,0.8156,0.000640
116,1.65414,0.8057,1.64568,0.8141,0.000640
117,1.65360,0.8066,1.64408,0.8158,0.000640
118,1.65199,0.8084,1.64473,0.8142,0.000640
119,1.65000,0.8103,1.64149,0.8184,0.000640
120,1.64942,0.8111,1.64285,0.8171,0.000640
121,1.64906,0.8116,1.64773,0.8120,0.000640
122,1.64804,0.8126,1.63305,0.8279,0.000640
123,1.64632,0.8146,1.63911,0.8212,0.000640
124,1.64747,0.8134,1.64420,0.8160,0.000640
125,1.64471,0.8148,1.63660,0.8238,0.000640
126,1.64290,0.8176,1.63868,0.8214,0.000640
127,1.64316,0.8170,1.63724,0.8216,0.000640
128,1.64131,0.8189,1.63110,0.8294,0.000640
129,1.63875,0.8220,1.63485,0.8262,0.000640
130,1.63855,0.8218,1.63826,0.8227,0.000640
131,1.64008,0.8200,1.64322,0.8164,0.000640
132,1.63931,0.8205,1.63280,0.8263,0.000640
133,1.63744,0.8228,1.63616,0.8237,0.000640
134,1.63733,0.8230,1.63660,0.8240,0.000640
135,1.63432,0.8259,1.63414,0.8256,0.000640
136,1.63127,0.8293,1.62705,0.8330,0.000640
137,1.63411,0.8264,1.62459,0.8353,0.000640
138,1.63181,0.8285,1.63840,0.8213,0.000640
139,1.63215,0.8286,1.62839,0.8322,0.000640
140,1.62993,0.8306,1.62519,0.8348,0.000640
141,1.62906,0.8314,1.62866,0.8319,0.000640
142,1.62780,0.8326,1.62261,0.8382,0.000640
143,1.62651,0.8341,1.62619,0.8327,0.000640
144,1.62737,0.8332,1.62901,0.8302,0.000640
145,1.62882,0.8314,1.62930,0.8312,0.000640
146,1.62268,0.8381,1.62608,0.8343,0.000640
147,1.62217,0.8383,1.62496,0.8351,0.000640
148,1.62288,0.8376,1.62774,0.8323,0.000640
149,1.62295,0.8376,1.62331,0.8370,0.000640
150,1.62442,0.8357,1.62098,0.8399,0.000640
151,1.61533,0.8451,1.62280,0.8370,0.000512
152,1.61533,0.8449,1.61586,0.8452,0.000512
153,1.61022,0.8505,1.61830,0.8416,0.000512
154,1.61026,0.8499,1.61342,0.8468,0.000512
155,1.60995,0.8507,1.61912,0.8414,0.000512
156,1.61169,0.8489,1.61949,0.8413,0.000512
157,1.61012,0.8501,1.61596,0.8451,0.000512
158,1.60822,0.8520,1.61548,0.8447,0.000512
159,1.60732,0.8533,1.61288,0.8477,0.000512
160,1.60708,0.8531,1.61446,0.8466,0.000512
161,1.60406,0.8566,1.61850,0.8420,0.000512
162,1.60480,0.8561,1.60983,0.8507,0.000512
163,1.60208,0.8583,1.61784,0.8433,0.000512
164,1.60159,0.8589,1.61324,0.8477,0.000512
165,1.60190,0.8590,1.61142,0.8491,0.000512
166,1.60289,0.8579,1.61611,0.8446,0.000512
167,1.60086,0.8598,1.61480,0.8465,0.000512
168,1.60118,0.8597,1.60916,0.8514,0.000512
169,1.59931,0.8611,1.61122,0.8496,0.000512
170,1.59623,0.8652,1.60775,0.8534,0.000512
171,1.59918,0.8614,1.61666,0.8434,0.000512
172,1.59707,0.8636,1.61245,0.8464,0.000512
173,1.59762,0.8632,1.61030,0.8497,0.000512
174,1.59502,0.8661,1.60746,0.8535,0.000512
175,1.59425,0.8667,1.60177,0.8600,0.000512
176,1.59297,0.8678,1.60472,0.8557,0.000512
177,1.59372,0.8668,1.61177,0.8487,0.000512
178,1.59202,0.8688,1.60936,0.8509,0.000512
179,1.59314,0.8675,1.60930,0.8514,0.000512
180,1.59297,0.8680,1.60917,0.8510,0.000512
181,1.59087,0.8699,1.61252,0.8477,0.000512
182,1.58976,0.8709,1.60580,0.8548,0.000512
183,1.59041,0.8697,1.60877,0.8514,0.000512
184,1.58644,0.8744,1.60540,0.8559,0.000512
185,1.58710,0.8743,1.60693,0.8538,0.000512
186,1.58831,0.8724,1.60570,0.8550,0.000512
187,1.58767,0.8730,1.61238,0.8478,0.000512
188,1.58536,0.8755,1.60188,0.8595,0.000512
189,1.58305,0.8777,1.60531,0.8542,0.000512
190,1.58476,0.8763,1.61374,0.8464,0.000512
191,1.58358,0.8773,1.60624,0.8540,0.000512
192,1.58273,0.8782,1.60264,0.8585,0.000512
193,1.58302,0.8781,1.60284,0.8579,0.000512
194,1.58142,0.8798,1.60090,0.8601,0.000512
195,1.58383,0.8769,1.60239,0.8569,0.000512
196,1.58211,0.8788,1.60293,0.8577,0.000512
197,1.58180,0.8791,1.60346,0.8567,0.000512
198,1.58044,0.8806,1.60053,0.8598,0.000512
199,1.58022,0.8806,1.59919,0.8623,0.000512
200,1.57763,0.8827,1.60110,0.8594,0.000512
201,1.57429,0.8862,1.60472,0.8559,0.000410
202,1.57208,0.8892,1.59821,0.8624,0.000410
203,1.57209,0.8889,1.59613,0.8638,0.000410
204,1.57326,0.8879,1.59848,0.8609,0.000410
205,1.57245,0.8885,1.59624,0.8641,0.000410
206,1.56997,0.8908,1.59337,0.8671,0.000410
207,1.56953,0.8917,1.59736,0.8637,0.000410
208,1.57000,0.8913,1.59772,0.8633,0.000410
209,1.56978,0.8913,1.59548,0.8656,0.000410
210,1.56725,0.8940,1.59375,0.8666,0.000410
211,1.56785,0.8928,1.59720,0.8631,0.000410
212,1.56858,0.8929,1.59481,0.8649,0.000410
213,1.56614,0.8945,1.59816,0.8629,0.000410
214,1.56363,0.8972,1.59864,0.8616,0.000410
215,1.56585,0.8951,1.59532,0.8641,0.000410
216,1.56619,0.8951,1.59738,0.8633,0.000410
217,1.56571,0.8953,1.59531,0.8656,0.000410
218,1.56548,0.8951,1.59608,0.8647,0.000410
219,1.56435,0.8970,1.59381,0.8666,0.000410
220,1.56351,0.8976,1.59472,0.8657,0.000410
221,1.56196,0.8994,1.59345,0.8669,0.000410
222,1.56165,0.8994,1.59403,0.8667,0.000410
223,1.56089,0.8998,1.59144,0.8697,0.000410
224,1.56230,0.8989,1.59173,0.8692,0.000410
225,1.56056,0.9007,1.59207,0.8691,0.000410
226,1.56089,0.8999,1.59420,0.8663,0.000410
227,1.55813,0.9031,1.59377,0.8670,0.000410
228,1.55831,0.9032,1.59691,0.8633,0.000410
229,1.55877,0.9027,1.59097,0.8701,0.000410
230,1.55871,0.9027,1.59404,0.8664,0.000410
231,1.55886,0.9019,1.59481,0.8653,0.000410
232,1.55615,0.9052,1.58999,0.8710,0.000410
233,1.55640,0.9047,1.58923,0.8704,0.000410
234,1.55709,0.9039,1.59200,0.8680,0.000410
235,1.55338,0.9078,1.59293,0.8677,0.000410
236,1.55503,0.9060,1.59125,0.8698,0.000410
237,1.55517,0.9061,1.59008,0.8702,0.000410
238,1.55238,0.9091,1.58912,0.8716,0.000410
239,1.55457,0.9067,1.58878,0.8702,0.000410
240,1.55283,0.9085,1.58548,0.8756,0.000410
241,1.55221,0.9090,1.58665,0.8742,0.000410
242,1.55289,0.9082,1.58581,0.8757,0.000410
243,1.55099,0.9099,1.58772,0.8725,0.000410
244,1.55163,0.9096,1.58975,0.8713,0.000410
245,1.55093,0.9105,1.58808,0.8720,0.000410
246,1.55012,0.9110,1.58576,0.8751,0.000410
247,1.55064,0.9105,1.58526,0.8745,0.000410
248,1.54894,0.9121,1.58737,0.8736,0.000410
249,1.55042,0.9107,1.58660,0.8751,0.000410
250,1.54928,0.9117,1.58618,0.8739,0.000410
