epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.64506,0.6293,0.64716,0.6370,0.001000
2,0.58231,0.7110,0.67879,0.6042,0.001000
3,0.53869,0.7601,0.54866,0.7494,0.001000
4,0.52110,0.7805,0.60207,0.6958,0.001000
5,0.50162,0.8026,0.54339,0.7590,0.001000
6,0.48906,0.8162,0.57861,0.7224,0.001000
7,0.47400,0.8297,0.49461,0.8062,0.001000
8,0.46337,0.8430,0.48223,0.8240,0.001000
9,0.45172,0.8541,0.54722,0.7524,0.001000
10,0.44753,0.8593,0.45084,0.8544,0.001000
11,0.42900,0.8787,0.48240,0.8246,0.000800
12,0.41934,0.8883,0.45457,0.8518,0.000800
13,0.41992,0.8882,0.47942,0.8258,0.000800
14,0.41101,0.8972,0.44225,0.8634,0.000800
15,0.40945,0.9004,0.45568,0.8506,0.000800
16,0.40789,0.9015,0.42851,0.8786,0.000800
17,0.39579,0.9141,0.43584,0.8696,0.000800
18,0.39389,0.9163,0.44930,0.8564,0.000800
19,0.39536,0.9143,0.40994,0.8982,0.000800
20,0.38778,0.9224,0.41732,0.8924,0.000800
21,0.37868,0.9327,0.41883,0.8904,0.000640
22,0.37781,0.9332,0.40754,0.9010,0.000640
23,0.37291,0.9380,0.40333,0.9062,0.000640
24,0.37283,0.9380,0.39454,0.9162,0.000640
25,0.36946,0.9418,0.40206,0.9074,0.000640
26,0.36856,0.9429,0.39567,0.9154,0.000640
27,0.36464,0.9468,0.40220,0.9070,0.000640
28,0.36328,0.9480,0.44737,0.8614,0.000640
29,0.36247,0.9487,0.42170,0.8874,0.000640
30,0.35876,0.9526,0.40410,0.9052,0.000640
31,0.34990,0.9618,0.39045,0.9200,0.000512
32,0.34797,0.9640,0.39427,0.9160,0.000512
33,0.34992,0.9613,0.40112,0.9090,0.000512
34,0.34844,0.9640,0.38882,0.9214,0.000512
35,0.35005,0.9620,0.38530,0.9248,0.000512
36,0.34681,0.9657,0.38839,0.9200,0.000512
37,0.34643,0.9653,0.38713,0.9224,0.000512
38,0.34000,0.9724,0.39369,0.9162,0.000512
39,0.33857,0.9739,0.39652,0.9132,0.000512
40,0.34000,0.9724,0.38369,0.9268,0.000512
