epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.69357,0.5115,0.68873,0.5666,0.000100
2,0.69263,0.5138,0.68910,0.5592,0.000100
3,0.69131,0.5268,0.69328,0.5022,0.000100
4,0.69118,0.5273,0.68796,0.5586,0.000100
5,0.69040,0.5306,0.68868,0.5540,0.000100
6,0.68966,0.5311,0.68935,0.5416,0.000100
7,0.68876,0.5404,0.68724,0.5492,0.000100
8,0.68802,0.5386,0.68738,0.5304,0.000100
9,0.68707,0.5445,0.68665,0.5536,0.000100
10,0.68687,0.5497,0.68856,0.5304,0.000100
11,0.68554,0.5541,0.68513,0.5524,0.000080
12,0.68556,0.5526,0.68351,0.5776,0.000080
13,0.68420,0.5620,0.68256,0.5796,0.000080
14,0.68453,0.5576,0.68239,0.5828,0.000080
15,0.68472,0.5626,0.68161,0.5842,0.000080
16,0.68282,0.5663,0.68230,0.5550,0.000080
17,0.68260,0.5610,0.67920,0.5926,0.000080
18,0.68007,0.5738,0.67862,0.5564,0.000080
19,0.67940,0.5787,0.67883,0.5746,0.000080
20,0.67891,0.5736,0.67343,0.6046,0.000080
21,0.67614,0.5851,0.67418,0.5802,0.000064
22,0.67642,0.5796,0.67777,0.5556,0.000064
23,0.67533,0.5867,0.67504,0.5732,0.000064
24,0.67413,0.5824,0.67279,0.5850,0.000064
25,0.67471,0.5858,0.66972,0.6048,0.000064
26,0.67386,0.5850,0.67251,0.5780,0.000064
27,0.67489,0.5814,0.67137,0.5952,0.000064
28,0.67377,0.5864,0.67214,0.5914,0.000064
29,0.67386,0.5852,0.67348,0.5690,0.000064
30,0.67457,0.5814,0.67226,0.5822,0.000064
31,0.67188,0.5922,0.66743,0.6058,0.000051
32,0.67374,0.5837,0.66962,0.5942,0.000051
33,0.67093,0.5913,0.66883,0.5916,0.000051
34,0.67162,0.5862,0.66889,0.5912,0.000051
35,0.66993,0.5897,0.66634,0.6046,0.000051
36,0.66938,0.5909,0.67014,0.5856,0.000051
37,0.66802,0.5964,0.66423,0.6034,0.000051
38,0.66626,0.5988,0.66877,0.5862,0.000051
39,0.66937,0.5917,0.67199,0.5700,0.000051
40,0.66658,0.5981,0.66268,0.6048,0.000051
41,0.66627,0.5984,0.66637,0.5864,0.000041
42,0.66410,0.6006,0.66059,0.6054,0.000041
43,0.66257,0.6029,0.66579,0.5866,0.000041
44,0.66280,0.6017,0.65646,0.6106,0.000041
45,0.66452,0.5989,0.65893,0.6114,0.000041
46,0.66303,0.5974,0.66025,0.6026,0.000041
